aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
66,-31,8193,0,-1,0,-0.18,0.47,42.92
75,-27,8198,-1,0,0,-0.18,0.47,42.92
87,-29,8191,0,-1,-1,-0.18,0.47,42.92
84,-26,8189,0,0,0,-0.18,0.47,42.92
78,-32,8195,0,-1,0,-0.18,0.47,42.92
80,-31,8190,-1,0,-1,-0.18,0.47,42.92
76,-34,8201,0,-1,-1,-0.18,0.47,42.92
76,-28,8195,0,-1,-1,-0.17,0.47,42.92
73,-24,8195,0,-1,0,-0.17,0.47,42.92
70,-22,8190,-1,0,-1,-0.17,0.47,42.92
64,-24,8197,-1,0,-1,-0.18,0.47,42.92
55,-24,8205,-1,-1,-1,-0.18,0.47,42.92
52,-26,8207,-1,-1,0,-0.18,0.47,42.92
57,-29,8211,0,-1,0,-0.18,0.47,42.92
66,-33,8213,0,-1,0,-0.18,0.47,42.92
69,-36,8215,0,-1,0,-0.17,0.47,42.92
75,-30,8212,0,0,-1,-0.17,0.47,42.92
72,-23,8208,-1,0,-1,-0.17,0.47,42.92
72,-20,8208,-1,0,0,-0.17,0.47,42.92
68,-27,8202,-1,-1,0,-0.17,0.47,42.92
68,-34,8194,-1,0,0,-0.18,0.47,42.92
68,-39,8193,-1,0,0,-0.18,0.47,42.92
68,-36,8195,0,-1,-1,-0.18,0.47,42.92
71,-28,8195,0,-1,-1,-0.18,0.47,42.92
74,-28,8187,-1,0,0,-0.17,0.47,42.92
70,-29,8192,0,-1,0,-0.17,0.47,42.92
72,-23,8189,0,-1,0,-0.17,0.47,42.92
72,-19,8190,-1,-1,-1,-0.17,0.47,42.92
70,-21,8195,-1,-1,0,-0.17,0.47,42.92
67,-26,8194,-1,-1,0,-0.17,0.47,42.92
66,-29,8201,-1,0,-1,-0.17,0.47,42.92
62,-29,8199,0,-1,-1,-0.17,0.47,42.92
59,-26,8202,-1,-1,-1,-0.17,0.47,42.92
62,-25,8198,-1,0,-1,-0.17,0.47,42.92
64,-29,8200,0,-1,-1,-0.17,0.47,42.92
67,-26,8203,-1,-1,0,-0.17,0.47,42.92
68,-25,8202,-1,-1,0,-0.17,0.47,42.92
69,-24,8200,0,0,-1,-0.17,0.47,42.92
72,-19,8199,0,0,0,-0.17,0.47,42.92
74,-17,8197,0,-1,0,-0.17,0.47,42.92
72,-22,8195,-1,0,0,-0.17,0.47,42.92
67,-23,8189,-1,0,-1,-0.17,0.47,42.92
71,-32,8188,0,-1,-1,-0.17,0.47,42.92
73,-31,8189,-1,-1,0,-0.17,0.47,42.92
66,-36,8198,0,0,0,-0.17,0.47,42.92
61,-32,8199,0,-1,0,-0.17,0.47,42.92
59,-25,8200,0,-1,-1,-0.17,0.47,42.92
61,-27,8197,-1,-1,-1,-0.17,0.47,42.92
59,-31,8192,-1,-1,-1,-0.17,0.47,42.92
57,-30,8193,0,-1,0,-0.17,0.47,42.92
61,-28,8193,-1,0,-1,-0.17,0.47,42.92
58,-33,8204,-1,0,0,-0.18,0.47,42.92
56,-33,8208,-1,-1,0,-0.18,0.47,42.92
61,-37,8210,-1,-1,0,-0.18,0.47,42.92
59,-36,8207,0,-1,0,-0.18,0.47,42.92
58,-35,8198,0,-1,-1,-0.17,0.47,42.92
63,-31,8197,0,-1,0,-0.17,0.47,42.92
71,-28,8199,-1,0,0,-0.17,0.47,42.91
74,-32,8203,-1,0,0,-0.17,0.47,42.91
75,-35,8201,0,-1,0,-0.17,0.47,42.91
72,-31,8205,0,-1,-1,-0.17,0.47,42.91
76,-30,8203,-1,0,0,-0.17,0.47,42.91
75,-36,8204,-1,-1,0,-0.17,0.47,42.91
73,-36,8204,0,-1,0,-0.17,0.47,42.91
65,-36,8197,0,-1,0,-0.17,0.47,42.91
63,-31,8192,-1,0,0,-0.17,0.47,42.91
60,-32,8191,-1,0,0,-0.17,0.47,42.90
61,-31,8194,0,-1,-1,-0.17,0.47,42.90
65,-33,8197,-1,-1,-1,-0.17,0.47,42.90
67,-33,8198,-1,0,0,-0.17,0.47,42.90
63,-39,8202,-1,-1,0,-0.17,0.47,42.90
64,-36,8199,0,-1,0,-0.17,0.47,42.90
66,-31,8198,0,0,0,-0.17,0.47,42.90
66,-31,8211,-1,-1,0,-0.17,0.47,42.90
62,-38,8210,0,-1,0,-0.17,0.47,42.90
65,-36,8208,0,-1,0,-0.17,0.47,42.90
66,-33,8205,0,-1,-1,-0.17,0.47,42.90
65,-29,8202,-1,0,-1,-0.17,0.47,42.90
62,-32,8208,0,-1,-1,-0.17,0.47,42.90
61,-33,8211,0,-1,-1,-0.17,0.47,42.90
60,-30,8205,-1,0,0,-0.17,0.47,42.90
65,-29,8205,-1,0,0,-0.17,0.47,42.90
65,-29,8205,0,-1,-1,-0.17,0.47,42.90
65,-27,8208,0,-1,-1,-0.17,0.47,42.90
