aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-32,-198,8179,-3,-3,-2,-1.76,0.34,3.43
-10,-199,8153,-2,-3,-2,-1.78,0.38,3.45
2,-204,8149,-2,-3,-3,-1.80,0.42,3.48
25,-197,8167,-1,-3,-3,-1.81,0.45,3.51
50,-198,8171,-2,-2,-3,-1.82,0.48,3.55
76,-196,8149,-3,-2,-3,-1.85,0.51,3.58
105,-199,8117,-3,-2,-3,-1.88,0.53,3.60
115,-216,8076,-3,-3,-2,-1.91,0.57,3.62
134,-232,8040,-2,-4,-2,-1.93,0.62,3.65
153,-241,8024,-1,-4,-1,-1.93,0.68,3.65
170,-258,8013,0,-3,-1,-1.94,0.73,3.66
170,-265,8019,0,-2,-1,-1.93,0.76,3.66
157,-263,8041,0,-2,0,-1.91,0.78,3.66
135,-263,8067,0,-2,0,-1.91,0.81,3.66
108,-261,8085,1,-3,0,-1.89,0.84,3.65
83,-257,8089,0,-4,-1,-1.88,0.89,3.65
77,-253,8088,0,-5,-1,-1.86,0.94,3.66
87,-263,8091,1,-5,-2,-1.84,1.00,3.67
107,-275,8104,1,-3,-2,-1.83,1.05,3.69
145,-283,8129,2,0,-3,-1.80,1.06,3.72
188,-293,8162,2,4,-3,-1.77,1.02,3.76
217,-303,8206,2,10,-3,-1.74,0.90,3.79
238,-296,8244,1,20,-3,-1.72,0.66,3.83
230,-269,8274,0,34,-5,-1.71,0.24,3.88
216,-262,8335,0,53,-8,-1.69,-0.43,3.97
203,-256,8411,0,78,-14,-1.69,-1.42,4.14
148,-277,8486,-2,109,-20,-1.71,-2.81,4.39
85,-339,8509,-4,142,-27,-1.79,-4.65,4.73
24,-408,8449,-7,172,-35,-1.94,-6.91,5.20
-2,-511,8312,-7,201,-42,-2.15,-9.54,5.78
-11,-591,8122,-6,227,-47,-2.41,-12.53,6.47
-93,-612,7936,-5,245,-45,-2.70,-15.79,7.19
-305,-565,7803,-6,251,-38,-3.01,-19.18,7.86
-681,-520,7736,-11,247,-25,-3.35,-22.56,8.40
-1142,-438,7666,-16,247,-12,-3.72,-25.92,8.75
-1665,-470,7551,-22,259,-4,-4.16,-29.45,8.96
-2234,-372,7293,-29,275,0,-4.70,-33.19,9.10
-2868,-347,6911,-36,286,0,-5.41,-37.16,9.22
-3448,-396,6450,-41,298,-3,-6.29,-41.32,9.34
-3926,-296,5807,-41,299,-4,-7.37,-45.49,9.50
-4485,-415,5287,-36,281,-5,-8.56,-49.52,9.75
-4902,-420,4852,-25,270,-3,-9.74,-53.34,10.15
-5329,-355,4562,-17,251,1,-10.89,-56.91,10.73
-5745,-249,4313,-16,230,7,-11.97,-60.17,11.38
-6194,-218,4141,-22,217,10,-13.16,-63.24,11.92
-6716,-269,3930,-32,196,10,-14.63,-66.04,12.21
-7192,-367,3685,-42,164,11,-16.31,-68.42,11.98
-7495,-422,3418,-49,137,12,-18.10,-70.41,11.12
-7680,-405,3117,-53,123,12,-19.96,-72.16,9.72
-7810,-433,2763,-54,116,11,-22.07,-73.78,7.87
-7934,-540,2307,-53,118,8,-24.74,-75.38,5.57
-8130,-695,1781,-52,112,8,-28.07,-76.92,2.64
-8347,-781,1257,-48,101,10,-31.74,-78.33,-1.02
-8593,-882,809,-40,87,11,-35.60,-79.56,-5.27
-8843,-979,516,-29,71,8,-39.55,-80.55,-9.61
-9011,-1053,340,-19,58,4,-43.39,-81.29,-13.50
-9137,-1112,242,-12,48,0,-47.32,-81.84,-16.95
-9230,-1132,212,-6,37,-1,-50.79,-82.23,-19.90
-9331,-1131,255,0,27,-1,-53.51,-82.50,-21.90
-9477,-1113,339,4,10,-1,-54.89,-82.62,-22.28
-9732,-1114,384,6,-19,-1,-53.93,-82.53,-20.68
-10042,-1138,375,9,-53,-1,-50.37,-82.16,-17.24
-10320,-1151,315,15,-88,-6,-44.99,-81.41,-12.79
-10516,-1147,276,22,-129,-12,-38.82,-80.13,-8.14
-10568,-1055,386,30,-180,-18,-32.49,-78.17,-3.96
-10459,-891,712,35,-242,-19,-26.31,-75.35,-0.75
-10119,-787,1224,36,-297,-16,-21.01,-71.64,1.30
-9556,-735,1838,33,-330,-15,-17.03,-67.30,2.48
-8834,-699,2474,27,-335,-17,-14.30,-62.70,3.11
-8147,-646,3074,20,-330,-18,-12.46,-58.09,3.45
-7579,-625,3631,14,-330,-17,-11.14,-53.50,3.59
-7106,-623,4112,9,-345,-12,-10.09,-48.75,3.59
-6614,-654,4491,3,-371,-7,-9.22,-43.71,3.45
-6000,-697,4798,0,-396,-3,-8.51,-38.30,3.23
-5225,-744,5114,3,-408,1,-7.89,-32.66,3.03
-4361,-803,5513,12,-398,3,-7.31,-27.04,2.91
-3474,-857,5982,20,-372,5,-6.73,-21.69,2.84
-2648,-921,6431,21,-336,9,-6.21,-16.80,2.77
-1971,-966,6822,17,-299,12,-5.80,-12.43,2.62
-1449,-1003,7124,13,-266,13,-5.52,-8.56,2.45
-995,-1071,7301,10,-238,8,-5.33,-5.10,2.31
-590,-1114,7332,9,-209,1,-5.21,-2.04,2.27
-269,-1097,7297,10,-181,-5,-5.10,0.61,2.31
9,-1028,7260,15,-156,-10,-4.92,2.90,2.43
247,-929,7317,21,-140,-14,-4.65,4.92,2.59
548,-829,7463,27,-129,-16,-4.26,6.79,2.77
902,-727,7695,30,-115,-16,-3.82,8.49,2.95
1270,-637,7983,29,-100,-14,-3.38,9.98,3.11
1586,-584,8249,24,-83,-11,-3.00,11.25,3.21
1805,-544,8431,17,-69,-6,-2.72,12.29,3.25
1918,-502,8489,9,-58,0,-2.56,13.16,3.25
1951,-467,8441,3,-50,4,-2.52,13.87,3.18
1916,-432,8305,-1,-41,7,-2.53,14.46,3.09
1818,-416,8118,-1,-35,7,-2.58,14.94,3.00
1691,-374,7928,1,-28,5,-2.59,15.32,2.91
