aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-1027,-285,8070,2,2,-1,-1.68,-6.69,-2.34
-1017,-285,8110,1,3,-1,-1.66,-6.73,-2.33
-1014,-279,8145,1,3,-1,-1.64,-6.78,-2.33
-1013,-272,8175,0,1,0,-1.63,-6.81,-2.33
-1013,-262,8191,-1,1,0,-1.63,-6.83,-2.33
-1021,-260,8208,-2,0,0,-1.65,-6.84,-2.34
-1031,-261,8211,-1,0,0,-1.66,-6.86,-2.35
-1036,-259,8218,0,1,0,-1.66,-6.88,-2.36
-1044,-247,8220,1,2,0,-1.64,-6.91,-2.36
-1047,-226,8234,1,2,-1,-1.62,-6.95,-2.36
-1051,-207,8260,1,2,-1,-1.59,-6.99,-2.36
-1049,-194,8284,1,1,-1,-1.57,-7.01,-2.35
-1044,-182,8311,1,0,-1,-1.54,-7.02,-2.33
-1039,-169,8325,0,0,-1,-1.53,-7.03,-2.32
-1037,-160,8337,-1,0,-2,-1.54,-7.04,-2.31
-1037,-160,8331,-2,-1,-2,-1.55,-7.04,-2.30
-1032,-168,8320,-2,-1,-2,-1.58,-7.03,-2.28
-1019,-180,8297,-3,-1,-2,-1.61,-7.02,-2.26
-1002,-193,8273,-2,-1,-3,-1.64,-7.02,-2.23
-982,-205,8248,-2,-1,-2,-1.66,-7.01,-2.20
-964,-224,8237,-1,0,-2,-1.67,-7.00,-2.18
-953,-232,8223,-1,-1,-2,-1.68,-6.99,-2.17
-942,-242,8218,-1,-2,-1,-1.69,-6.97,-2.16
-934,-245,8226,-1,-2,-1,-1.70,-6.95,-2.16
-926,-241,8251,-2,-4,0,-1.72,-6.90,-2.16
-939,-233,8280,-3,-6,0,-1.74,-6.83,-2.17
-993,-244,8355,-4,-11,0,-1.78,-6.71,-2.18
-1043,-227,8454,-9,-20,0,-1.89,-6.48,-2.20
-1079,-210,8504,-17,-28,-1,-2.09,-6.13,-2.22
-1121,-170,8475,-25,-35,-3,-2.39,-5.69,-2.22
-1123,-132,8351,-29,-47,-3,-2.76,-5.09,-2.22
-1113,-124,8175,-30,-64,-3,-3.15,-4.30,-2.21
-1045,-167,8029,-27,-81,0,-3.53,-3.25,-2.23
