aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
476,1173,7951,2,0,0,8.20,3.02,58.90
455,1141,7977,2,1,0,8.24,3.00,58.89
437,1106,8034,2,1,-1,8.26,2.98,58.89
418,1072,8060,2,-1,-1,8.28,2.98,58.89
401,1040,8045,3,-4,-2,8.31,3.00,58.91
404,1026,8011,4,-6,-3,8.36,3.06,58.96
425,1040,7963,6,-6,-4,8.44,3.14,59.01
448,1057,7894,7,-4,-4,8.54,3.20,59.07
455,1097,7818,7,-4,-4,8.65,3.24,59.12
465,1147,7761,6,-2,-4,8.75,3.26,59.16
479,1195,7721,5,0,-3,8.84,3.27,59.20
486,1214,7732,4,1,-3,8.92,3.25,59.23
477,1197,7777,3,0,-3,8.97,3.24,59.25
458,1167,7843,2,0,-3,8.99,3.23,59.28
448,1146,7885,0,1,-4,9.00,3.21,59.31
442,1137,7908,-4,4,-6,8.96,3.14,59.38
423,1146,7920,-10,7,-8,8.86,3.04,59.47
389,1164,7911,-20,8,-10,8.63,2.90,59.61
352,1166,7885,-32,5,-13,8.23,2.78,59.79
322,1133,7855,-45,1,-15,7.66,2.71,60.01
320,1050,7788,-55,-3,-16,6.94,2.70,60.28
343,949,7694,-61,-5,-18,6.11,2.73,60.57
397,850,7624,-64,1,-21,5.23,2.71,60.90
455,755,7570,-67,12,-24,4.33,2.56,61.25
475,692,7562,-72,26,-25,3.35,2.23,61.61
424,650,7634,-80,36,-26,2.28,1.74,61.96
361,601,7791,-92,38,-26,1.07,1.19,62.32
264,548,7985,-106,29,-26,-0.33,0.73,62.67
121,469,8217,-122,22,-24,-1.94,0.39,63.00
-6,364,8460,-139,12,-22,-3.79,0.17,63.28
-15,184,8633,-156,0,-19,-5.87,0.12,63.48
49,-85,8654,-169,-3,-16,-8.16,0.19,63.60
35,-441,8508,-174,3,-16,-10.56,0.21,63.66
-70,-902,8267,-170,9,-15,-12.97,0.12,63.69
-182,-1342,8078,-160,12,-15,-15.28,-0.01,63.70
-251,-1693,8000,-150,6,-12,-17.42,-0.10,63.65
-269,-1997,7989,-143,-4,-8,-19.45,-0.06,63.49
-279,-2223,8025,-142,-15,-3,-21.42,0.09,63.21
-257,-2367,8010,-149,-21,0,-23.45,0.33,62.78
-214,-2443,7885,-164,-18,3,-25.63,0.55,62.24
-157,-2596,7675,-182,-7,5,-28.06,0.63,61.61
-88,-2872,7431,-197,12,7,-30.74,0.48,60.94
-71,-3245,7194,-207,33,6,-33.60,0.10,60.26
-113,-3709,6944,-209,48,3,-36.53,-0.45,59.63
-223,-4187,6677,-199,56,-1,-39.39,-1.07,59.09
-388,-4640,6488,-181,53,-5,-42.03,-1.66,58.60
-505,-5001,6357,-160,37,-5,-44.37,-2.08,58.07
-594,-5275,6254,-142,16,0,-46.42,-2.32,57.33
-589,-5445,6181,-130,-1,7,-48.25,-2.43,56.34
-543,-5586,6048,-124,-13,11,-49.96,-2.46,55.12
-549,-5845,5811,-117,-19,14,-51.59,-2.46,53.73
-592,-6191,5554,-105,-19,14,-53.10,-2.49,52.31
-594,-6498,5359,-92,-14,11,-54.45,-2.52,51.00
-552,-6734,5268,-82,-16,6,-55.62,-2.50,49.84
-478,-6864,5126,-77,-24,1,-56.70,-2.37,48.69
-357,-6880,4857,-73,-28,-3,-57.72,-2.14,47.55
-302,-6942,4473,-67,-29,-2,-58.71,-1.90,46.39
-137,-6937,4061,-60,-15,-3,-59.62,-1.73,45.41
2,-6929,3811,-54,-2,-1,-60.43,-1.65,44.65
56,-6961,3773,-46,-1,3,-61.13,-1.65,43.99
5,-7004,3915,-41,-7,8,-61.70,-1.69,43.30
-23,-7107,4087,-39,-11,11,-62.20,-1.76,42.53
-34,-7314,4236,-38,-15,10,-62.70,-1.78,41.72
-30,-7551,4271,-34,-19,7,-63.16,-1.76,40.93
40,-7765,4174,-28,-19,3,-63.56,-1.68,40.22
113,-7846,4041,-23,-9,0,-63.90,-1.59,39.72
142,-7894,3972,-19,3,-2,-64.18,-1.55,39.47
135,-7908,3969,-15,11,-3,-64.40,-1.55,39.39
105,-7905,4074,-10,18,-5,-64.54,-1.59,39.54
112,-7916,4198,-5,16,-6,-64.59,-1.61,39.78
131,-7950,4280,0,14,-5,-64.57,-1.61,40.07
97,-7980,4374,6,14,-5,-64.48,-1.62,40.44
102,-8005,4467,13,5,-6,-64.28,-1.60,40.84
177,-8066,4494,20,-5,-6,-63.98,-1.48,41.22
236,-8149,4466,31,-6,-6,-63.56,-1.35,41.67
279,-8224,4450,44,-5,-5,-62.97,-1.23,42.28
266,-8209,4453,59,-6,-6,-62.18,-1.10,43.08
213,-8109,4452,76,-9,-6,-61.17,-0.95,44.03
121,-7974,4575,97,-4,-5,-59.87,-0.85,45.21
23,-7818,4908,114,0,-2,-58.27,-0.82,46.58
-104,-7604,5398,126,-4,0,-56.46,-0.82,47.97
-241,-7357,5789,129,-19,2,-54.54,-0.75,49.18
-305,-7126,5950,128,-37,1,-52.66,-0.52,50.06
-261,-6861,5956,123,-46,-2,-50.86,-0.15,50.72
-135,-6518,5814,110,-50,-6,-49.22,0.33,51.25
23,-6170,5493,93,-55,-10,-47.83,0.94,51.63
165,-5907,5030,80,-45,-13,-46.70,1.55,51.94
349,-5767,4576,77,-17,-11,-45.69,1.92,52.38
558,-5711,4324,85,15,-7,-44.60,1.97,53.06
641,-5702,4366,101,38,-2,-43.29,1.70,53.97
503,-5614,4722,117,43,5,-41.73,1.24,54.94
224,-5398,5383,123,34,13,-39.99,0.71,55.75
-19,-5091,6140,117,15,18,-38.23,0.28,56.32
709,1009,8129,3,-5,2,7.13,4.55,63.38
720,997,8079,2,-3,1,7.17,4.60,63.35
734,987,8022,0,-1,0,7.18,4.63,63.35
739,985,7985,-1,1,-1,7.17,4.62,63.35
738,996,7987,-2,3,-1,7.15,4.57,63.36
721,1021,8016,-3,4,-1,7.12,4.51,63.37
698,1042,8049,-3,3,-1,7.09,4.46,63.37
667,1043,8096,-2,2,-1,7.07,4.41,63.39
637,1032,8135,-1,0,-1,7.05,4.39,63.39
616,1024,8171,0,-1,-1,7.05,4.39,63.39
610,1027,8191,1,-2,-1,7.07,4.39,63.40
596,1034,8213,3,-3,-1,7.12,4.42,63.41
583,1034,8213,4,-5,0,7.18,4.48,63.41
583,1031,8186,5,-7,0,7.25,4.56,63.42
595,1028,8133,5,-8,0,7.32,4.66,63.42
607,1018,8042,3,-8,-1,7.38,4.76,63.43
630,1004,7969,1,-6,-2,7.41,4.85,63.46
668,1022,7939,-2,-2,-2,7.41,4.89,63.48
711,1052,7937,-6,0,-3,7.35,4.89,63.53
739,1076,7947,-11,-1,-4,7.24,4.89,63.58
772,1076,7917,-17,-2,-3,7.05,4.92,63.64
807,1052,7864,-23,0,-3,6.77,4.92,63.69
822,997,7791,-29,3,-5,6.39,4.90,63.77
799,935,7749,-37,2,-6,5.92,4.86,63.87
760,854,7708,-47,-3,-8,5.31,4.87,64.00
726,739,7654,-58,-7,-10,4.54,4.94,64.18
723,602,7592,-70,-8,-12,3.61,5.04,64.38
754,462,7573,-82,-4,-14,2.50,5.10,64.62
810,314,7628,-93,3,-17,1.25,5.08,64.87
877,192,7775,-105,13,-19,-0.16,4.95,65.14
885,118,7986,-116,20,-20,-1.72,4.70,65.42
857,76,8172,-129,19,-19,-3.43,4.44,65.68
786,54,8317,-140,17,-17,-5.29,4.21,65.91
681,5,8337,-151,9,-15,-7.31,4.06,66.07
603,-127,8195,-158,2,-12,-9.43,4.02,66.17
569,-344,7974,-158,3,-10,-11.60,4.00,66.18
545,-656,7807,-155,9,-5,-13.74,3.92,66.14
494,-1026,7726,-150,16,0,-15.84,3.72,66.01
412,-1481,7725,-145,19,3,-17.88,3.44,65.82
348,-1928,7800,-140,21,2,-19.87,3.12,65.62
331,-2342,7911,-138,20,0,-21.81,2.83,65.43
288,-2656,7979,-139,17,-2,-23.75,2.59,65.24
211,-2894,7904,-141,10,-3,-25.70,2.43,64.99
151,-3091,7696,-142,5,-2,-27.67,2.34,64.69
155,-3269,7464,-142,6,0,-29.64,2.25,64.32
222,-3461,7233,-142,8,3,-31.62,2.14,63.89
273,-3669,6999,-142,12,5,-33.60,1.98,63.41
246,-3934,6773,-143,20,7,-35.59,1.72,62.91
185,-4262,6608,-144,29,7,-37.61,1.34,62.42
108,-4559,6513,-144,37,5,-39.63,0.88,61.98
-4,-4810,6470,-143,39,2,-41.63,0.42,61.59
-147,-4993,6445,-141,33,2,-43.59,-0.00,61.14
-266,-5139,6379,-136,23,4,-45.48,-0.33,60.57
-336,-5325,6232,-129,8,9,-47.27,-0.56,59.77
-398,-5555,5980,-119,-6,15,-48.96,-0.71,58.71
-417,-5756,5672,-109,-14,19,-50.53,-0.82,57.46
-357,-5847,5382,-104,-13,20,-52.00,-0.94,56.15
-286,-5926,5077,-105,-11,20,-53.46,-1.08,54.81
-237,-6041,4717,-107,-5,19,-54.96,-1.25,53.43
-218,-6164,4308,-109,7,17,-56.51,-1.50,52.13
-175,-6283,3785,-110,17,14,-58.11,-1.78,50.88
-180,-6428,3250,-106,33,12,-59.71,-2.14,49.77
-240,-6650,2941,-98,49,14,-61.23,-2.63,48.90
-381,-6944,2929,-87,54,17,-62.58,-3.20,48.22
-590,-7322,3120,-75,42,19,-63.73,-3.75,47.53
-744,-7778,3370,-63,23,16,-64.69,-4.17,46.72
-784,-8195,3547,-52,6,10,-65.46,-4.40,45.85
-727,-8536,3602,-39,-6,3,-66.06,-4.45,44.98
-711,-8687,3620,-26,-8,-1,-66.48,-4.41,44.33
-647,-8697,3664,-14,-7,-3,-66.70,-4.34,43.96
-548,-8654,3748,-4,-4,-3,-66.77,-4.26,43.82
-446,-8602,3885,6,3,-1,-66.69,-4.23,43.98
-304,-8582,4004,14,7,1,-66.49,-4.26,44.34
-194,-8632,4059,25,12,2,-66.16,-4.30,44.93
-159,-8730,4167,42,16,1,-65.62,-4.37,45.86
-157,-8817,4441,61,18,-1,-64.81,-4.43,47.15
-186,-8817,4839,83,12,-5,-63.67,-4.44,48.74
-247,-8738,5204,110,-1,-9,-62.15,-4.34,50.48
-377,-8625,5562,147,-20,-11,-60.13,-4.10,52.28
-445,-8391,5933,183,-48,-9,-57.56,-3.71,53.93
-314,-7986,6186,204,-77,-8,-54.61,-3.06,55.16
-100,-7385,6224,207,-90,-7,-51.57,-2.21,56.04
95,-6649,6129,194,-82,-8,-48.69,-1.33,56.75
308,-5920,6015,172,-58,-8,-46.11,-0.58,57.46
473,-5365,6034,154,-26,-7,-43.81,-0.13,58.27
486,-5044,6251,145,-3,-4,-41.68,0.03,59.14
370,-4890,6602,144,1,0,-39.58,0.03,59.95
208,-4876,6934,147,-10,6,-37.45,0.06,60.56
41,-4925,7129,150,-29,9,-35.32,0.22,60.91
-88,-4962,7183,151,-43,8,-33.20,0.59,61.10
-152,-4943,7125,146,-50,4,-31.16,1.09,61.23
-135,-4819,7000,136,-47,-3,-29.25,1.65,61.41
-31,-4546,6873,119,-33,-10,-27.55,2.15,61.69
68,-4192,6787,99,-13,-15,-26.09,2.45,62.08
159,-3856,6829,82,7,-17,-24.86,2.53,62.54
177,-3582,6988,71,19,-14,-23.80,2.39,63.01
107,-3430,7138,68,22,-10,-22.81,2.14,63.42
7,-3403,7230,73,17,-5,-21.80,1.90,63.74
-102,-3443,7293,86,8,-1,-20.67,1.73,63.98
596,832,8124,1,-1,-1,5.45,4.20,65.85
596,821,8141,2,-4,-1,5.48,4.23,65.85
606,825,8137,4,-5,-1,5.55,4.29,65.86
623,838,8129,5,-5,-1,5.63,4.36,65.87
629,873,8112,5,-5,-1,5.72,4.43,65.89
648,915,8087,5,-5,-1,5.80,4.49,65.91
672,967,8065,4,-4,-1,5.88,4.55,65.92
703,1019,8038,3,-3,-1,5.95,4.59,65.92
721,1067,8022,2,-2,0,6.01,4.62,65.93
732,1097,8024,1,-2,1,6.06,4.66,65.92
730,1109,8019,0,-3,1,6.08,4.69,65.90
731,1099,8016,-1,-3,1,6.09,4.73,65.88
747,1095,8023,-2,-3,1,6.09,4.77,65.87
763,1113,8033,-3,-2,1,6.07,4.80,65.86
766,1127,8036,-5,-1,2,6.04,4.82,65.84
757,1115,8063,-7,-1,3,5.96,4.83,65.80
746,1076,8088,-9,-1,4,5.86,4.85,65.75
708,1012,8094,-11,-3,4,5.73,4.88,65.70
659,938,8050,-15,-6,4,5.53,4.94,65.65
640,858,7981,-20,-7,3,5.27,5.03,65.62
659,797,7912,-26,-5,1,4.93,5.11,65.61
699,746,7862,-34,-1,-1,4.49,5.14,65.63
731,676,7839,-44,5,-3,3.92,5.08,65.69
773,599,7861,-55,11,-4,3.20,4.94,65.75
791,519,7914,-68,18,-5,2.30,4.72,65.82
747,441,7988,-82,23,-8,1.22,4.41,65.92
677,360,8041,-96,26,-11,-0.04,4.05,66.07
597,246,8055,-108,28,-14,-1.48,3.66,66.24
493,107,8055,-116,29,-16,-3.06,3.23,66.45
388,-67,8034,-120,27,-16,-4.71,2.84,66.65
310,-255,8018,-119,22,-15,-6.37,2.51,66.84
276,-460,8008,-115,19,-13,-7.97,2.23,66.99
234,-677,8013,-110,16,-11,-9.50,2.01,67.10
221,-883,7993,-107,11,-7,-10.99,1.84,67.14
207,-1071,7943,-107,5,-5,-12.48,1.76,67.12
194,-1272,7880,-111,2,-2,-14.00,1.72,67.04
